dataset,ensemble,ensemble_short,n,accuracy_mean,accuracy_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,avg_confidence_mean,avg_confidence_std,posthoc_temperature_mean,posthoc_temperature_std,ts_accuracy_mean,ts_accuracy_std,ts_ece_mean,ts_ece_std,ts_nll_mean,ts_nll_std,ts_brier_mean,ts_brier_std,ts_avg_confidence_mean,ts_avg_confidence_std
cifar,ensemble_PACE_PACBayes_plus_PACEKL_uncert_topk,PB + KL top-k,3,0.861,0.0016,0.0397,0.0014,0.5549,0.0063,0.2091,0.0027,0.9004,0.0012,1.007,0.0013,0.861,0.0016,0.0378,0.0012,0.5547,0.0063,0.2088,0.0027,0.8984,0.0014
cifar,ensemble_PACE_PACBayes_plus_PACEKL_uncert_soft,PB + KL soft,3,0.8636,0.0024,0.0414,0.0017,0.5575,0.0056,0.2086,0.003,0.904,0.0009,1.0094,0.0014,0.8636,0.0024,0.0387,0.0016,0.5572,0.0055,0.2082,0.003,0.9013,0.001
cifar,ensemble_PACE_PACBayes_plus_PACE_uncert_topk,PB + PACE top-k,3,0.8674,0.002,0.1648,0.0014,0.7234,0.0047,0.2341,0.0021,0.7026,0.0007,0.8695,0.0007,0.8674,0.002,0.0608,0.0009,0.6116,0.0055,0.2087,0.0025,0.8066,0.0011
cifar,ensemble_PACE_PACBayes_plus_PACE_uncert_soft,PB + PACE soft,3,0.8674,0.0016,0.1581,0.0022,0.7249,0.0043,0.2323,0.0019,0.7093,0.0016,0.8757,0.0012,0.8674,0.0016,0.0587,0.001,0.6211,0.005,0.2095,0.0024,0.8088,0.001
caltech101,ensemble_PACE_PACBayes_plus_PACEKL_uncert_topk,PB + KL top-k,3,0.9518,0.0012,0.0082,0.0012,0.2082,0.0019,0.075,0.0013,0.9488,0.0012,0.9656,0.0013,0.9518,0.0012,0.0063,0.001,0.2052,0.0018,0.0752,0.0013,0.9554,0.001
caltech101,ensemble_PACE_PACBayes_plus_PACEKL_uncert_soft,PB + KL soft,3,0.9518,0.0014,0.0072,0.0004,0.2067,0.0019,0.0742,0.0014,0.9491,0.0013,0.9654,0.0014,0.9518,0.0014,0.0062,0.0005,0.2036,0.0018,0.0743,0.0014,0.9557,0.001
caltech101,ensemble_PACE_PACBayes_plus_PACE_uncert_topk,PB + PACE top-k,3,0.951,0.0021,0.1624,0.0023,0.3851,0.0045,0.1095,0.0019,0.7886,0.0023,0.8644,0.0007,0.951,0.0021,0.0707,0.0017,0.2777,0.0034,0.085,0.0016,0.8803,0.0013
caltech101,ensemble_PACE_PACBayes_plus_PACE_uncert_soft,PB + PACE soft,3,0.9511,0.0018,0.1629,0.0011,0.3882,0.004,0.1087,0.0017,0.7882,0.0016,0.8666,0.0007,0.9511,0.0018,0.0709,0.001,0.2818,0.0033,0.0848,0.0015,0.8802,0.001
dtd,ensemble_PACE_PACBayes_plus_PACEKL_uncert_topk,PB + KL top-k,3,0.7122,0.0026,0.1109,0.0071,1.2032,0.0064,0.4282,0.0012,0.8213,0.0058,1.0726,0.0033,0.7122,0.0026,0.0877,0.0053,1.1773,0.0064,0.4213,0.0012,0.7963,0.0051
dtd,ensemble_PACE_PACBayes_plus_PACEKL_uncert_soft,PB + KL soft,3,0.7053,0.0053,0.1245,0.0127,1.2305,0.0108,0.439,0.0063,0.8281,0.0074,1.0768,0.0048,0.7053,0.0053,0.0986,0.0111,1.2006,0.0068,0.4305,0.0048,0.8011,0.0061
dtd,ensemble_PACE_PACBayes_plus_PACE_uncert_topk,PB + PACE top-k,3,0.6934,0.0105,0.1002,0.0054,1.2862,0.0229,0.4407,0.0079,0.5948,0.0065,0.8923,0.0005,0.6934,0.0105,0.0409,0.008,1.2312,0.0234,0.4304,0.0077,0.6654,0.0069
dtd,ensemble_PACE_PACBayes_plus_PACE_uncert_soft,PB + PACE soft,3,0.6936,0.0065,0.0782,0.0037,1.285,0.0021,0.4351,0.0012,0.6163,0.0088,0.9092,0.0066,0.6936,0.0065,0.0349,0.0078,1.2438,0.004,0.429,0.0005,0.6752,0.0045
