dataset,method,n,accuracy,ece,nll,brier,avg_confidence,ts_ece,ts_nll,ts_brier
svhn,LoRA,3,0.8798 +/- 0.0032,0.0876 +/- 0.0039,0.6167 +/- 0.0262,0.2044 +/- 0.0060,0.9674 +/- 0.0008,0.0776 +/- 0.0039,0.5201 +/- 0.0199,0.1977 +/- 0.0056
svhn,PACE,3,0.8831 +/- 0.0038,0.0923 +/- 0.0024,0.4908 +/- 0.0116,0.1867 +/- 0.0056,0.8068 +/- 0.0014,0.0666 +/- 0.0042,0.4598 +/- 0.0146,0.1819 +/- 0.0063
svhn,PACE + PAC-Bayes,3,0.8951 +/- 0.0017,0.0893 +/- 0.0018,0.6344 +/- 0.0112,0.1898 +/- 0.0035,0.9844 +/- 0.0003,0.0823 +/- 0.0018,0.5247 +/- 0.0088,0.1845 +/- 0.0034
svhn,PACE-KL uncertainty top-k,3,0.8975 +/- 0.0056,0.0858 +/- 0.0046,0.8167 +/- 0.0297,0.1847 +/- 0.0092,0.9833 +/- 0.0011,0.0809 +/- 0.0043,0.6528 +/- 0.0241,0.1798 +/- 0.0089
oxford_flowers102,LoRA,3,0.9914 +/- 0.0002,0.0033 +/- 0.0005,0.0461 +/- 0.0012,0.0146 +/- 0.0004,0.9908 +/- 0.0003,0.0034 +/- 0.0005,0.0461 +/- 0.0012,0.0146 +/- 0.0004
oxford_flowers102,PACE,3,0.9892 +/- 0.0003,0.2758 +/- 0.0003,0.3871 +/- 0.0019,0.1036 +/- 0.0008,0.7134 +/- 0.0006,0.1168 +/- 0.0001,0.1820 +/- 0.0014,0.0387 +/- 0.0007
oxford_flowers102,PACE + PAC-Bayes,3,0.9910 +/- 0.0013,0.0055 +/- 0.0003,0.0498 +/- 0.0041,0.0152 +/- 0.0015,0.9945 +/- 0.0003,0.0046 +/- 0.0003,0.0489 +/- 0.0038,0.0152 +/- 0.0015
oxford_flowers102,PACE-KL uncertainty top-k,3,0.9921 +/- 0.0002,0.0063 +/- 0.0005,0.0720 +/- 0.0010,0.0142 +/- 0.0003,0.9978 +/- 0.0002,0.0058 +/- 0.0002,0.0595 +/- 0.0007,0.0139 +/- 0.0002
oxford_iiit_pet,LoRA,3,0.9207 +/- 0.0023,0.0490 +/- 0.0020,0.3391 +/- 0.0030,0.1322 +/- 0.0007,0.9687 +/- 0.0010,0.0415 +/- 0.0022,0.3077 +/- 0.0020,0.1292 +/- 0.0005
oxford_iiit_pet,PACE,3,0.9223 +/- 0.0015,0.2006 +/- 0.0022,0.5223 +/- 0.0023,0.1643 +/- 0.0007,0.7219 +/- 0.0009,0.0756 +/- 0.0011,0.3855 +/- 0.0044,0.1277 +/- 0.0015
oxford_iiit_pet,PACE + PAC-Bayes,3,0.9250 +/- 0.0014,0.0533 +/- 0.0023,0.3648 +/- 0.0123,0.1287 +/- 0.0030,0.9777 +/- 0.0017,0.0464 +/- 0.0030,0.3243 +/- 0.0082,0.1253 +/- 0.0027
oxford_iiit_pet,PACE-KL uncertainty top-k,3,0.9227 +/- 0.0022,0.0636 +/- 0.0030,0.5917 +/- 0.0393,0.1369 +/- 0.0036,0.9863 +/- 0.0010,0.0597 +/- 0.0030,0.4755 +/- 0.0303,0.1333 +/- 0.0034
